event_id,event_date,measure,pre_mean,post_mean,delta,pre_sd,post_sd,n_pre,n_post,welch_t,dropped
eth_rule_approval,2024-05-23,C_pca,0.7731905353101602,0.732466532492145,-0.04072400281801525,0.03741466259845618,0.024001179838660125,30,31,-5.041722446797629,asset=SOL
eth_etf_launch,2024-07-23,C_pairwise,0.7250145284950326,0.7560572399371602,0.03104271144212767,0.0461126499475281,0.020789980926207853,30,31,3.370587771241731,asset=SOL
eth_etf_launch,2024-07-23,C_pca,0.731803293113795,0.772666604276016,0.04086331116222097,0.04540848554225288,0.024535967056452283,30,31,4.352315694771399,asset=SOL
mica_stablecoin,2024-06-30,C_pairwise,0.7106523462298664,0.7430081562370733,0.03235581000720689,0.03431182448693682,0.03060399503415836,30,31,3.882362310718319,asset=SOL
mica_stablecoin,2024-06-30,C_pca,0.7210660517987008,0.7507528189110056,0.02968676711230489,0.036029747705323134,0.030014618516282916,30,31,3.490580998346511,asset=SOL
mica_full,2024-12-30,C_pairwise,0.5731879032853975,0.7899488364890783,0.21676093320368084,0.09195394764166702,0.026551363386781393,30,31,12.420003325345245,asset=SOL
mica_full,2024-12-30,C_pca,0.5839607939691139,0.795541445108766,0.21158065113965208,0.0892335333556876,0.025515596692526617,30,31,12.501800632011259,asset=SOL
btc_etf_approval,2024-01-10,C_pairwise,0.5901261783226672,0.6922083097002938,0.10208213137762656,0.06849378170535934,0.04709670115306021,30,31,6.761569702098918,asset=DOGE
btc_etf_approval,2024-01-10,C_pca,0.6072423168177321,0.7012949408192909,0.09405262400155878,0.06228371666867326,0.04494973075717717,30,31,6.744152458997706,asset=DOGE
btc_etf_launch,2024-01-11,C_pairwise,0.5909920733490182,0.6918981071823765,0.10090603383335839,0.06906539350647724,0.047431884758719116,30,31,6.630887445652292,asset=DOGE
btc_etf_launch,2024-01-11,C_pca,0.6082135529019559,0.7012048687546449,0.09299131585268905,0.06289451860710496,0.0450372331233182,30,31,6.62051814816912,asset=DOGE
eth_rule_approval,2024-05-23,C_pairwise,0.7767664051130787,0.7214637411564231,-0.05530266395665562,0.035466655427064966,0.023459809226942786,30,31,-7.158473252619009,asset=DOGE
eth_rule_approval,2024-05-23,C_pca,0.7837624069579657,0.7313141905833199,-0.052448216374645806,0.03438588629954412,0.02444570177410818,30,31,-6.846177165009312,asset=DOGE
eth_etf_launch,2024-07-23,C_pairwise,0.7131224398961958,0.7489942942864448,0.03587185439024898,0.04307148201250649,0.020398723129249022,30,31,4.134929428058802,asset=DOGE
eth_etf_launch,2024-07-23,C_pca,0.7193844102163014,0.7656069040321214,0.04622249381582,0.04237296452844162,0.023896669186603874,30,31,5.224634305923467,asset=DOGE
mica_stablecoin,2024-06-30,C_pairwise,0.7076537201325179,0.7308581600536103,0.023204439921092335,0.03630151043627064,0.029337997231934428,30,31,2.7405421454144965,asset=DOGE
mica_stablecoin,2024-06-30,C_pca,0.717627879885092,0.7382933591104552,0.020665479225363215,0.03810695325609036,0.029007880847526653,30,31,2.377566783838246,asset=DOGE
mica_full,2024-12-30,C_pairwise,0.5607821060161798,0.7622490712844668,0.201466965268287,0.08993790502677515,0.03936346492747466,30,31,11.269199831791278,asset=DOGE
mica_full,2024-12-30,C_pca,0.5733115914746825,0.7712499991350233,0.19793840766034088,0.08652608393757863,0.035749784151727346,30,31,11.607621873830762,asset=DOGE
